college_name,sat_score,state,institution_type,major,admission_rate,undergrad_enrollment,tuition
Laguna College Of Art And Design,1154,CA,Private,Unknown,0.7761,776,59573
Lake Tahoe Community College,1154,CA,Public,Unknown,0.7778,2909,20127
Lancaster Beauty School,1154,CA,Private,Unknown,0.7778,131,18700
Laney College,1154,CA,Public,Unknown,0.7778,7158,2872
Lassen Community College,1154,CA,Public,Unknown,0.7778,1564,18362
Latin American Bible Institute,1154,CA,Private,Unknown,0.6818,78,22670
Life Chiropractic College West,1154,CA,Private,Unknown,0.7778,1107,18700
Lincoln University,1154,CA,Private,Unknown,0.7778,223,12270
Southern California Seminary,1154,CA,Private,Unknown,0.7778,30,39107
La Sierra University,1154,CA,Private,Unknown,0.933,1155,52908
Loma Linda University,1154,CA,Private,Unknown,0.7778,867,18700
Long Beach City College,1154,CA,Public,Unknown,0.7778,21899,2708
Southern California University Of Health Sciences,1154,CA,Private,Unknown,0.7778,132,11921
Los Angeles Harbor College,1154,CA,Public,Unknown,0.7778,6496,2176
Los Angeles Pierce College,1154,CA,Public,Unknown,0.7778,13029,2176
Los Angeles Southwest College,1154,CA,Public,Unknown,0.7778,3793,2176
Los Angeles Trade Technical College,1154,CA,Public,Unknown,0.7778,10165,2176
Los Angeles Valley College,1154,CA,Public,Unknown,0.7778,12470,2176
The Master'S University And Seminary,1154,CA,Private,Unknown,0.7589,1606,54440
Los Angeles City College,1154,CA,Public,Unknown,0.7778,10857,2176
Los Angeles County College Of Nursing And Allied Health,1154,CA,Public,Unknown,0.7778,220,18700
Los Angeles Mission College,1154,CA,Public,Unknown,0.7778,8031,2176
Los Medanos College,1154,CA,Public,Unknown,0.7778,7100,2502
Loyola Marymount University,1154,CA,Private,Unknown,0.4029,7171,84603
Lu Ross Academy,1154,CA,Private,Unknown,0.7778,277,18700
Lyle'S College Of Beauty,1154,CA,Private,Unknown,0.7778,96,18700
Lyle'S College Of  Beauty,1154,CA,Private,Unknown,0.7778,77,18700
Lytles Redwood Empire Beauty College,1154,CA,Private,Unknown,0.7778,114,18700
Mti College,1154,CA,Private,Unknown,0.8193,1025,18700
College Of Marin,1154,CA,Public,Unknown,0.7778,3928,3727
Mendocino College,1154,CA,Public,Unknown,0.7778,2857,2503
Menlo College,1154,CA,Private,Unknown,0.6781,811,72369
Merced College,1154,CA,Public,Unknown,0.7778,9677,2132
Merritt College,1154,CA,Public,Unknown,0.7778,5153,2891
Northeastern University Oakland,1472,CA,Private,Unknown,0.1654,542,85539
Miracosta College,1154,CA,Public,Unknown,0.7778,10474,2090
Mission College,1154,CA,Public,Unknown,0.7778,5557,2376
Modern Beauty Academy,1154,CA,Private,Unknown,0.7778,62,18700
Modesto Junior College,1154,CA,Public,Unknown,0.7778,14714,2208
Moler Barber College,1154,CA,Private,Unknown,0.7778,335,18700
Middlebury Institute Of International Studies At Monterey,1154,CA,Private,Unknown,0.7778,8,18700
Monterey Peninsula College,1154,CA,Public,Unknown,0.7778,5759,2126
Moorpark College,1154,CA,Public,Unknown,0.7778,12011,2568
Mt San Antonio College,1154,CA,Public,Unknown,0.7778,25311,2798
Mount Saint Mary'S University,1154,CA,Private,Unknown,0.6872,1746,71690
Mt San Jacinto Community College District,1154,CA,Public,Unknown,0.7778,14859,3325
Musicians Institute,1154,CA,Private,Unknown,0.7129,735,30146
Napa Valley College,1154,CA,Public,Unknown,0.7778,3205,2094
National Holistic Institute,1154,CA,Private,Unknown,0.7778,1134,18700
